team,season,total_away_draws_per_season,total_home_draws_per_season,total_away_wins_per_season,total_home_wins_per_season,,,,Home form,,Away Form
Arsenal,2006-2007,2,1,3,12,,,,13,,5
Arsenal,2009-2010,0,1,3,6,,,,7,,3
Arsenal,2011-2012,0,1,6,6,,,,7,,6
Arsenal,2007-2008,1,2,6,9,,,,11,,7
Arsenal,2008-2009,3,2,3,6,,,,8,,6
Arsenal,2010-2011,2,2,3,6,,,,8,,5
Arsenal,2012-2013,1,2,3,3,,,,5,,4
Arsenal,2015-2016,3,2,0,6,,,,8,,3
Arsenal,2016-2017,1,2,0,6,,,,8,,1
Arsenal,2017-2018,1,2,0,3,,,,5,,1
Arsenal,2013-2014,0,3,3,6,,,,9,,3
Arsenal,2014-2015,2,3,3,3,,,,6,,5