team,season,total_away_wins_per_season,total_home_wins_per_season,total_away_draws_per_season,total_home_draws_per_season,,,,Home form,,Away form
Manchester City,2006-2007,0,3,0,1,,,,4,,0
Manchester City,2008-2009,0,3,1,0,,,,3,,1
Manchester City,2010-2011,0,9,2,1,,,,10,,2
Manchester City,2007-2008,3,6,0,1,,,,7,,3
Manchester City,2009-2010,3,6,2,1,,,,7,,5
Manchester City,2014-2015,3,9,2,1,,,,10,,5
Manchester City,2015-2016,3,3,1,1,,,,4,,4
Manchester City,2016-2017,3,3,1,3,,,,6,,4
Manchester City,2011-2012,6,15,1,0,,,,15,,7
Manchester City,2012-2013,6,6,2,2,,,,8,,8
Manchester City,2013-2014,6,12,1,0,,,,12,,7
Manchester City,2017-2018,12,12,0,0,,,,12,,12