team,season,ontarget_scoring_att,goals,shooting_percentage
Reading,2006-2007,132,52,0.39393939393939392
Bolton Wanderers,2006-2007,120,47,0.39166666666666666
Everton,2006-2007,153,52,0.33986928104575165
Blackburn Rovers,2006-2007,155,52,0.33548387096774196
Manchester United,2006-2007,256,83,0.32421875
Tottenham Hotspur,2006-2007,184,57,0.30978260869565216
Middlesbrough,2006-2007,144,44,0.30555555555555558
Chelsea,2006-2007,216,64,0.29629629629629628
Aston Villa,2006-2007,154,43,0.2792207792207792
Arsenal,2006-2007,226,63,0.27876106194690264
Newcastle United,2006-2007,140,38,0.27142857142857141
Fulham,2006-2007,142,38,0.26760563380281688
Liverpool,2006-2007,214,57,0.26635514018691586
West Ham United,2006-2007,134,35,0.26119402985074625
Charlton Athletic,2006-2007,133,34,0.25563909774436089
Wigan Athletic,2006-2007,147,37,0.25170068027210885
Portsmouth,2006-2007,186,45,0.24193548387096775
Sheffield United,2006-2007,147,32,0.21768707482993196
Watford,2006-2007,135,29,0.21481481481481482
Manchester City,2006-2007,147,29,0.19727891156462585
Aston Villa,2007-2008,182,71,0.39010989010989011
Arsenal,2007-2008,208,74,0.35576923076923078
Tottenham Hotspur,2007-2008,195,66,0.33846153846153848
Chelsea,2007-2008,199,65,0.32663316582914576
Everton,2007-2008,169,55,0.32544378698224852
Birmingham City,2007-2008,143,46,0.32167832167832167
Manchester City,2007-2008,143,45,0.31468531468531469
Liverpool,2007-2008,214,67,0.31308411214953269
Reading,2007-2008,132,41,0.31060606060606061
Manchester United,2007-2008,260,80,0.30769230769230771
Portsmouth,2007-2008,160,48,0.3
Newcastle United,2007-2008,153,45,0.29411764705882354
Middlesbrough,2007-2008,152,43,0.28289473684210525
West Ham United,2007-2008,154,42,0.27272727272727271
Blackburn Rovers,2007-2008,185,50,0.27027027027027029
Sunderland,2007-2008,137,36,0.26277372262773724
Fulham,2007-2008,154,38,0.24675324675324675
Bolton Wanderers,2007-2008,149,36,0.24161073825503357
Wigan Athletic,2007-2008,141,34,0.24113475177304963
Derby County,2007-2008,116,20,0.17241379310344829
Stoke City,2008-2009,100,38,0.38
Liverpool,2008-2009,224,77,0.34375
Aston Villa,2008-2009,159,54,0.33962264150943394
Everton,2008-2009,169,55,0.32544378698224852
Newcastle United,2008-2009,125,40,0.32
Arsenal,2008-2009,220,68,0.30909090909090908
Manchester United,2008-2009,230,68,0.29565217391304349
Manchester City,2008-2009,201,58,0.28855721393034828
Chelsea,2008-2009,248,68,0.27419354838709675
Blackburn Rovers,2008-2009,148,40,0.27027027027027029
Bolton Wanderers,2008-2009,154,41,0.26623376623376621
Fulham,2008-2009,149,39,0.26174496644295303
Hull City,2008-2009,149,39,0.26174496644295303
Tottenham Hotspur,2008-2009,177,45,0.25423728813559321
West Ham United,2008-2009,167,42,0.25149700598802394
Portsmouth,2008-2009,152,38,0.25
Sunderland,2008-2009,144,34,0.2361111111111111
West Bromwich Albion,2008-2009,165,36,0.21818181818181817
Wigan Athletic,2008-2009,163,34,0.20858895705521471
Middlesbrough,2008-2009,140,28,0.2
Manchester United,2009-2010,221,86,0.38914027149321267
Manchester City,2009-2010,195,73,0.37435897435897436
Chelsea,2009-2010,288,103,0.3576388888888889
Arsenal,2009-2010,233,83,0.35622317596566522
Aston Villa,2009-2010,158,52,0.32911392405063289
Liverpool,2009-2010,189,61,0.32275132275132273
Everton,2009-2010,194,60,0.30927835051546393
Sunderland,2009-2010,159,48,0.30188679245283018
Stoke City,2009-2010,113,34,0.30088495575221241
Tottenham Hotspur,2009-2010,226,67,0.29646017699115046
Hull City,2009-2010,120,34,0.28333333333333333
Burnley,2009-2010,153,42,0.27450980392156865
Fulham,2009-2010,144,39,0.27083333333333331
Wolverhampton Wanderers,2009-2010,119,32,0.26890756302521007
Bolton Wanderers,2009-2010,163,42,0.25766871165644173
Blackburn Rovers,2009-2010,161,41,0.25465838509316768
West Ham United,2009-2010,191,47,0.24607329842931938
Birmingham City,2009-2010,155,38,0.24516129032258063
Portsmouth,2009-2010,151,34,0.2251655629139073
Wigan Athletic,2009-2010,174,37,0.21264367816091953
Manchester United,2010-2011,212,78,0.36792452830188677
Blackpool,2010-2011,161,55,0.34161490683229812
Blackburn Rovers,2010-2011,135,46,0.34074074074074073
Manchester City,2010-2011,177,60,0.33898305084745761
Newcastle United,2010-2011,168,56,0.33333333333333331
Wolverhampton Wanderers,2010-2011,139,46,0.33093525179856115
Stoke City,2010-2011,143,46,0.32167832167832167
Birmingham City,2010-2011,121,37,0.30578512396694213
West Bromwich Albion,2010-2011,184,56,0.30434782608695654
Arsenal,2010-2011,238,72,0.30252100840336132
Bolton Wanderers,2010-2011,173,52,0.30057803468208094
Sunderland,2010-2011,154,45,0.29220779220779219
Aston Villa,2010-2011,165,48,0.29090909090909089
Tottenham Hotspur,2010-2011,191,55,0.2879581151832461
Liverpool,2010-2011,205,59,0.28780487804878047
Fulham,2010-2011,172,49,0.28488372093023256
Chelsea,2010-2011,244,69,0.28278688524590162
Everton,2010-2011,181,51,0.281767955801105
West Ham United,2010-2011,174,43,0.2471264367816092
Wigan Athletic,2010-2011,170,40,0.23529411764705882
Stoke City,2011-2012,94,36,0.38297872340425532
Manchester City,2011-2012,250,93,0.372
Manchester United,2011-2012,243,89,0.36625514403292181
Newcastle United,2011-2012,154,56,0.36363636363636365
Blackburn Rovers,2011-2012,143,48,0.33566433566433568
Sunderland,2011-2012,141,45,0.31914893617021278
Norwich City,2011-2012,164,52,0.31707317073170732
Arsenal,2011-2012,236,74,0.3135593220338983
Everton,2011-2012,164,50,0.3048780487804878
Swansea City,2011-2012,145,44,0.30344827586206896
Chelsea,2011-2012,224,65,0.29017857142857145
Tottenham Hotspur,2011-2012,230,66,0.28695652173913044
Queens Park Rangers,2011-2012,150,43,0.28666666666666668
Bolton Wanderers,2011-2012,163,46,0.2822085889570552
West Bromwich Albion,2011-2012,167,45,0.26946107784431139
Aston Villa,2011-2012,138,37,0.26811594202898553
Wolverhampton Wanderers,2011-2012,152,40,0.26315789473684209
Wigan Athletic,2011-2012,162,42,0.25925925925925924
Fulham,2011-2012,195,48,0.24615384615384617
Liverpool,2011-2012,207,47,0.22705314009661837
Manchester United,2012-2013,213,86,0.40375586854460094
Chelsea,2012-2013,212,75,0.35377358490566035
Arsenal,2012-2013,205,72,0.35121951219512193
Reading,2012-2013,128,43,0.3359375
Aston Villa,2012-2013,141,47,0.33333333333333331
Fulham,2012-2013,160,50,0.3125
West Bromwich Albion,2012-2013,170,53,0.31176470588235294
Liverpool,2012-2013,232,71,0.30603448275862066
Norwich City,2012-2013,134,41,0.30597014925373134
Stoke City,2012-2013,114,34,0.2982456140350877
Sunderland,2012-2013,139,41,0.29496402877697842
Southampton,2012-2013,167,49,0.29341317365269459
Manchester City,2012-2013,231,66,0.2857142857142857
West Ham United,2012-2013,158,45,0.2848101265822785
Swansea City,2012-2013,167,47,0.281437125748503
Wigan Athletic,2012-2013,170,47,0.27647058823529413
Tottenham Hotspur,2012-2013,241,66,0.27385892116182575
Everton,2012-2013,207,55,0.26570048309178745
Newcastle United,2012-2013,174,45,0.25862068965517243
Queens Park Rangers,2012-2013,146,30,0.20547945205479451
Manchester City,2013-2014,238,102,0.42857142857142855
Liverpool,2013-2014,258,101,0.39147286821705424
Manchester United,2013-2014,183,64,0.34972677595628415
Swansea City,2013-2014,161,54,0.33540372670807456
Stoke City,2013-2014,137,45,0.32846715328467152
West Ham United,2013-2014,122,40,0.32786885245901637
Arsenal,2013-2014,213,68,0.31924882629107981
Everton,2013-2014,196,61,0.31122448979591838
Chelsea,2013-2014,229,71,0.31004366812227074
Southampton,2013-2014,179,54,0.3016759776536313
Sunderland,2013-2014,138,41,0.29710144927536231
West Bromwich Albion,2013-2014,146,43,0.29452054794520549
Aston Villa,2013-2014,135,39,0.28888888888888886
Hull City,2013-2014,132,38,0.2878787878787879
Tottenham Hotspur,2013-2014,192,55,0.28645833333333331
Fulham,2013-2014,149,40,0.26845637583892618
Cardiff City,2013-2014,124,32,0.25806451612903225
Newcastle United,2013-2014,182,43,0.23626373626373626
Crystal Palace,2013-2014,143,33,0.23076923076923078
Norwich City,2013-2014,148,28,0.1891891891891892
Manchester City,2014-2015,229,83,0.36244541484716158
Stoke City,2014-2015,136,48,0.35294117647058826
Chelsea,2014-2015,210,73,0.34761904761904761
Manchester United,2014-2015,180,62,0.34444444444444444
Tottenham Hotspur,2014-2015,171,58,0.33918128654970758
Crystal Palace,2014-2015,139,47,0.33812949640287771
Leicester City,2014-2015,137,46,0.33576642335766421
Southampton,2014-2015,169,54,0.31952662721893493
Swansea City,2014-2015,147,46,0.31292517006802723
Arsenal,2014-2015,227,71,0.31277533039647576
West Ham United,2014-2015,152,44,0.28947368421052633
Everton,2014-2015,166,48,0.28915662650602408
West Bromwich Albion,2014-2015,132,38,0.2878787878787879
Queens Park Rangers,2014-2015,150,42,0.28
Newcastle United,2014-2015,143,40,0.27972027972027974
Liverpool,2014-2015,192,52,0.27083333333333331
Hull City,2014-2015,131,33,0.25190839694656486
Aston Villa,2014-2015,125,31,0.248
Sunderland,2014-2015,130,31,0.23846153846153847
Burnley,2014-2015,125,28,0.224
Leicester City,2015-2016,179,68,0.37988826815642457
Southampton,2015-2016,166,59,0.35542168674698793
West Ham United,2015-2016,185,65,0.35135135135135137
Chelsea,2015-2016,173,59,0.34104046242774566
Sunderland,2015-2016,141,48,0.34042553191489361
Manchester United,2015-2016,144,49,0.34027777777777779
Manchester City,2015-2016,210,71,0.33809523809523812
Everton,2015-2016,175,59,0.33714285714285713
Stoke City,2015-2016,128,41,0.3203125
West Bromwich Albion,2015-2016,107,34,0.31775700934579437
AFC Bournemouth,2015-2016,143,45,0.31468531468531469
Liverpool,2015-2016,202,63,0.31188118811881188
Swansea City,2015-2016,136,42,0.30882352941176472
Arsenal,2015-2016,211,65,0.30805687203791471
Norwich City,2015-2016,129,39,0.30232558139534882
Newcastle United,2015-2016,151,44,0.29139072847682118
Watford,2015-2016,140,40,0.2857142857142857
Tottenham Hotspur,2015-2016,252,69,0.27380952380952384
Crystal Palace,2015-2016,153,39,0.25490196078431371
Aston Villa,2015-2016,110,27,0.24545454545454545
Chelsea,2016-2017,204,85,0.41666666666666669
Arsenal,2016-2017,201,77,0.38308457711442784
Manchester City,2016-2017,216,80,0.37037037037037035
Crystal Palace,2016-2017,138,50,0.36231884057971014
West Bromwich Albion,2016-2017,123,43,0.34959349593495936
AFC Bournemouth,2016-2017,160,55,0.34375
West Ham United,2016-2017,138,47,0.34057971014492755
Tottenham Hotspur,2016-2017,257,86,0.33463035019455251
Leicester City,2016-2017,145,48,0.33103448275862069
Liverpool,2016-2017,236,78,0.33050847457627119
Burnley,2016-2017,120,39,0.325
Everton,2016-2017,191,62,0.32460732984293195
Swansea City,2016-2017,145,45,0.31034482758620691
Stoke City,2016-2017,137,41,0.29927007299270075
Hull City,2016-2017,126,37,0.29365079365079366
Watford,2016-2017,143,40,0.27972027972027974
Middlesbrough,2016-2017,100,27,0.27
Manchester United,2016-2017,210,54,0.25714285714285712
Sunderland,2016-2017,119,29,0.24369747899159663
Southampton,2016-2017,179,41,0.22905027932960895
Manchester City,2017-2018,265,106,0.4
Manchester United,2017-2018,178,68,0.38202247191011235
Leicester City,2017-2018,149,56,0.37583892617449666
Everton,2017-2018,121,44,0.36363636363636365
West Ham United,2017-2018,133,48,0.36090225563909772
Liverpool,2017-2018,233,84,0.36051502145922748
Tottenham Hotspur,2017-2018,216,74,0.34259259259259262
Watford,2017-2018,132,44,0.33333333333333331
Arsenal,2017-2018,234,74,0.31623931623931623
Crystal Palace,2017-2018,151,45,0.29801324503311261
Brighton and Hove Albion,2017-2018,119,34,0.2857142857142857
AFC Bournemouth,2017-2018,158,45,0.2848101265822785
Chelsea,2017-2018,220,62,0.2818181818181818
Burnley,2017-2018,128,36,0.28125
West Bromwich Albion,2017-2018,114,31,0.27192982456140352
Swansea City,2017-2018,103,28,0.27184466019417475
Stoke City,2017-2018,132,35,0.26515151515151514
Newcastle United,2017-2018,149,39,0.26174496644295303
Huddersfield Town,2017-2018,109,28,0.25688073394495414
Southampton,2017-2018,145,37,0.25517241379310346